id,Suburb,neighboring_suburbs,area,percent_area_affected,bushfire_affected
10125,BUCKLAND,"MOUNT BUFFALO, SELWYN, WANDILIGONG, HARRIETVILLE",316.9290518641624,72.653,Yes
10124,MOUNT BUFFALO,"BUCKLAND, NUG NUG, BUFFALO RIVER",83.69263684592288,35.076,Yes
10111,MALLACOOTA,WALLAGARAUGH,186.0514739694336,64.11,Yes
10120,BARWON DOWNS,,0.028658175875635617,0.02,Yes
6730,APSLEY,LANGKOOP,0.9728690612156052,0.266,Yes
6735,HOWITT PLAINS,,0.9999803995025361,0.469,Yes
6898,CALIFORNIA GULLY,,0.004232638014547315,0.102,Yes
7120,ROCKY POINT,,0.8906530272679742,11.23,Yes
7273,WENDOUREE,,0.008251878514501897,0.077,Yes
7479,CORAL BANK,"MONGANS BRIDGE, TAWONGA",1.5389082831492131,6.25,Yes
9404,CREEK JUNCTION,BONNIE DOON,0.003959741600611164,0.002,Yes
9456,YALMY,"NURRAN, GELANTIPY, BUCHAN SOUTH, BUCHAN, W TREE, BONANG, BETE BOLONG NORTH, DEDDICK VALLEY, GOONGERAH, ORBOST, JARRAHMOND",820.2763672818577,99.103,Yes
9457,BUCHAN,"WULGULMERANG WEST, BUCHAN SOUTH, YALMY, MURRINDAL, W TREE, NUNNIONG, REEDY FLAT, TIMBARRA",425.8029593639194,84.245,Yes
6770,STIRLING,"DEPTFORD, MARTHAVALE, BROOKVILLE, TAMBO CROSSING, ENSAY",221.13104906333652,100.0,Yes
6771,KILLARA,DARTMOOR,9.451253288384498,4.581,Yes
6775,BROOKVILLE,"MARTHAVALE, STIRLING, WENTWORTH, ENSAY",147.65026906196803,67.516,Yes
9871,BOORHAMAN EAST,,0.027257485006837317,0.072,Yes
7337,BIG HILL,,0.03873474930306451,0.313,Yes
9830,FRENCH ISLAND,,0.9421260449900191,0.486,Yes
9831,CHUTE,"MOUNT LONARCH, LEXTON",7.93005599242089,14.689,Yes
9832,MOUNT LONARCH,"CHUTE, AMPHITHEATRE, LEXTON",8.024856590970515,10.964,Yes
9839,IRREWILLIPE,,0.0011777108946023985,0.001,Yes
9840,CARLISLE RIVER,BEECH FOREST,4.678102741662058,2.163,Yes
9844,APOLLO BAY,,0.02253667802943081,0.023,Yes
9845,BEECH FOREST,CARLISLE RIVER,0.001977967438691946,0.001,Yes
6762,BESSIEBELLE,"MACARTHUR, LAKE CONDAH, BREAKAWAY CREEK",14.71143913725596,6.893,Yes
7730,WALLAGARAUGH,"GENOA, MALLACOOTA, MARAMINGO CREEK",25.666729912220145,100.0,Yes
7111,MURRINDAL,"WULGULMERANG WEST, BUCHAN, W TREE",8.231063893028137,46.834,Yes
10992,BURROWYE,"MOUNT ALFRED, GUYS FOREST",43.43902160193585,27.903,Yes
10984,SHEPHERDS FLAT,,0.022438425652727287,0.074,Yes
11169,HOTHAM HEIGHTS,"WONGUNGARRA, SELWYN, FALLS CREEK, DARGO, BUNDARA",59.17446821327871,13.468,Yes
7470,MERBEIN SOUTH,,0.06629313612992538,0.204,Yes
7472,LAKE CONDAH,"BESSIEBELLE, HOMERTON, BREAKAWAY CREEK",16.40110954528763,51.179,Yes
10220,RAINBOW,,0.0679314520179826,0.007,Yes
10426,WHEELERS HILL,,0.0023684850876708836,0.02,Yes
7423,MONGANS BRIDGE,"UPPER GUNDOWRING, CORAL BANK, TAWONGA, ESKDALE",13.932780399703924,40.05,Yes
10955,MELVILLE FOREST,CAVENDISH,0.7816869625608557,0.7,Yes
9972,WENTWORTH,"MARTHAVALE, BROOKVILLE",5.919926557446619,3.219,Yes
7172,ALLENDALE,BROOMFIELD,0.2904863243279146,1.798,Yes
7173,GIPSY POINT,GENOA,17.16358106470328,100.0,Yes
7768,HOMERTON,LAKE CONDAH,0.15182962280761547,0.277,Yes
7067,AVONDALE HEIGHTS,,0.009561019882863604,0.156,Yes
7212,CAPE CONRAN,MARLO,11.56835953386882,70.991,Yes
7323,SHANNONVALE,"GLEN VALLEY, NELSE, BUNDARA",4.626988836915104,47.707,Yes
10993,MOUNT ALFRED,"BURROWYE, WALWA",72.5591221510593,100.0,Yes
9863,TOWONG UPPER,TOWONG,0.00036870499981794835,0.001,Yes
11170,SELWYN,"BUCKLAND, HOTHAM HEIGHTS, ABBEYARD",286.88561952137667,66.385,Yes
9470,GAFFNEYS CREEK,,0.050608641744248485,0.026,Yes
7338,MOSSIFACE,"WISELEIGH, SARSFIELD, TAMBO UPPER",1.7205169696147353,13.411,Yes
10933,SUNBURY,,2.129856133891129,1.422,Yes
7329,BROOMFIELD,ALLENDALE,0.29732958044648755,2.88,Yes
7159,GRANITE ROCK,"SARSFIELD, FAIRY DELL, CLIFTON CREEK",1.9587667857629925,10.026,Yes
10190,NICHOLSON,SARSFIELD,3.3058552721169936,4.041,Yes
10182,SARSFIELD,"WISELEIGH, MOSSIFACE, GRANITE ROCK, NICHOLSON, FAIRY DELL",31.379118662558703,49.351,Yes
10223,LENEVA,"BANDIANA, WODONGA",2.5966884356825153,2.842,Yes
11188,MURRAY-SUNSET,,2.7720347455948673,0.039,Yes
10985,HATTAH,,0.02266590919591089,0.002,Yes
10948,BONNIE DOON,CREEK JUNCTION,0.057523650901899925,0.026,Yes
8153,WAYGARA,"SIMPSONS CREEK, BETE BOLONG",6.4931710716288356,14.654,Yes
10722,NATTE YALLOCK,,0.09833704496336426,0.063,Yes
10787,STEWARTON,GOOMALIBEE,0.005993529020502978,0.006,Yes
9244,HUNTLY,,1.2555470467666379,2.659,Yes
7794,NUG NUG,"MOUNT BUFFALO, BUFFALO RIVER",16.212819915690748,28.583,Yes
7797,TAMBO CROSSING,"DEPTFORD, STIRLING, ENSAY, DOUBLE BRIDGES, TIMBARRA",55.8874386928452,97.886,Yes
9736,GUYS FOREST,"BURROWYE, SHELLEY, KOETONG, WALWA, BERRINGAMA, CUDGEWA",211.34304818749533,99.387,Yes
9798,SHELLEY,"GUYS FOREST, BERRINGAMA",16.34608299776842,8.918,Yes
7715,WATERHOLES,"DEPTFORD, FAIRY DELL, CLIFTON CREEK, BULLUMWAAL",28.49161388409493,100.0,Yes
9799,KOETONG,GUYS FOREST,5.362951662926124,2.753,Yes
7740,SILVAN,,0.026943601409566934,0.078,Yes
7535,TIMOR WEST,,0.08225149445204442,0.265,Yes
7536,SIMPSONS CREEK,"WAYGARA, BETE BOLONG",0.44503718597975883,1.369,Yes
7902,GLEN WILLS,,0.005038778171309549,0.012,Yes
10322,DERGHOLM,,4.522598371198166,1.425,Yes
7360,KIALLA WEST,,0.009946011388510863,0.054,Yes
10315,HOWQUA,,0.006456594625821519,0.014,Yes
7647,DINNER PLAIN,"COBUNGRA, DARGO, BUNDARA",7.646617211023692,25.01,Yes
10732,PLENTY,"BUNDOORA, MILL PARK",0.2785757856113085,2.232,Yes
7352,DRY DIGGINGS,,0.11391821431606046,1.239,Yes
8008,TAMBO UPPER,MOSSIFACE,0.24037823001371686,0.484,Yes
9729,NANNEELLA,,0.2645366822997655,0.24,Yes
9731,MEREDITH,"MOUNT MERCER, SHELFORD",0.15983402099312138,0.068,Yes
9734,WALWA,"MOUNT ALFRED, GUYS FOREST, PINE MOUNTAIN, CUDGEWA",88.5171962695609,68.629,Yes
10793,MOUNT BULLER,,40.43808852702626,3.593,Yes
7565,MONBULK,,0.014490185033703635,0.063,Yes
8210,FAIRY DELL,"DEPTFORD, WISELEIGH, GRANITE ROCK, SARSFIELD, WATERHOLES, CLIFTON CREEK, BRUTHEN",65.15183288724599,83.1,Yes
8616,TALLANGATTA VALLEY,,0.11590999751933911,0.026,Yes
8617,LUCYVALE,"DARTMOUTH, BERRINGAMA, CUDGEWA, NARIEL VALLEY",15.445304929375604,7.895,Yes
8165,BARRAMUNGA,,0.00040770784124442036,0.0,Yes
8744,TATURA,,0.016403501225661647,0.012,Yes
8400,CAVEAT,,0.05294856580605341,0.076,Yes
8226,ANGLERS REST,"OMEO, GLEN VALLEY, COBUNGRA, BUNDARA",69.66012219439429,68.83,Yes
9961,BRIMPAEN,,1.75388050844369,0.641,Yes
8590,FALLS CREEK,"HOTHAM HEIGHTS, BUNDARA",1.2055873205893537,0.594,Yes
8062,PASTORIA,,0.5722344355657353,1.204,Yes
8063,MOORNGAG,,1.1420053541781745,2.366,Yes
10299,STRATHMERTON,,0.4539618516606691,0.221,Yes
10314,GLENLYON,,0.3055603088151464,0.344,Yes
8100,WANGARABELL,"CHANDLERS CREEK, GENOA, WROXHAM, MARAMINGO CREEK",61.17140743051611,100.0,Yes
8109,GLEN CREEK,,0.095987738978221,0.21,Yes
8110,ARDMONA,,0.07757011683926159,0.173,Yes
8102,BUTCHERS RIDGE,"GELANTIPY, WULGULMERANG WEST, W TREE",30.297355462882322,79.083,Yes
8713,JILPANGER,TOOAN,1.045528220102975,0.601,Yes
8719,W TREE,"GELANTIPY, WULGULMERANG WEST, YALMY, BUCHAN, MURRINDAL, BUTCHERS RIDGE",167.88518816264306,90.964,Yes
9618,PINE MOUNTAIN,"WALWA, TINTALDRA, CUDGEWA",65.84372964161086,92.748,Yes
9619,TOWONG,"TOWONG UPPER, TINTALDRA, CORRYONG, CUDGEWA",58.000580228090165,63.346,Yes
8248,BERRINGAMA,"GUYS FOREST, SHELLEY, LUCYVALE, CUDGEWA",52.06198529659185,51.475,Yes
9927,COBUNGRA,"OMEO, DINNER PLAIN, ANGLERS REST, BUNDARA",164.84957970642637,77.338,Yes
9928,TELANGATUK EAST,,0.002072095662076283,0.001,Yes
10485,DARGO,"OMEO, WONGUNGARRA, HOTHAM HEIGHTS, DINNER PLAIN",169.3759753776718,14.548,Yes
10788,UPOTIPOTPON,,0.010563316466595373,0.013,Yes
10707,GOOMALIBEE,STEWARTON,0.0067239401956139516,0.01,Yes
8129,MANORINA,"BELLBIRD CREEK, MARLO, BEMM RIVER, CABBAGE TREE CREEK",37.441266932805874,99.403,Yes
8144,COOMBOONA,,0.014663443968500342,0.025,Yes
8181,TOOLAMBA,,0.0114297547176547,0.015,Yes
8277,ELPHINSTONE,,0.02491948480767259,0.026,Yes
11203,BONANG,"YALMY, BENDOC, GOONGERAH",239.04053373349063,38.089,Yes
10030,BETE BOLONG,"BUCHAN SOUTH, WAYGARA, SIMPSONS CREEK, WOMBAT CREEK, WAIREWA, BETE BOLONG NORTH, JARRAHMOND",123.60589497439268,77.421,Yes
9715,FAIRY DELL,STRATHALLAN,3.2949315565851096,10.001,Yes
8229,TONGHI CREEK,"TAMBOON, NOORINBEE, CLUB TERRACE, CANN RIVER",76.1687284409734,100.0,Yes
11204,BENDOC,"BULDAH, COMBIENBAR, BONANG, GOONGERAH",163.0373475978191,24.668,Yes
8072,CLIFTON CREEK,"GRANITE ROCK, WATERHOLES, FAIRY DELL, MOUNT TAYLOR, BULLUMWAAL",36.140538581015235,59.743,Yes
8333,SNAKE VALLEY,,0.04571664781291063,0.071,Yes
9218,CAVENDISH,MELVILLE FOREST,0.9947678651667142,0.307,Yes
8795,ROKEWOOD,,0.07622524965716208,0.036,Yes
8796,SKIPTON,,0.09629804993602498,0.033,Yes
8752,NERRIN NERRIN,WOORNDOO,1.0493265655831596e-05,0.0,Yes
8754,AMPHITHEATRE,"MOUNT LONARCH, LEXTON",8.060611599696148,4.713,Yes
8408,ARCADIA,,0.02901297431582506,0.034,Yes
8584,MOUNT MERCER,"MEREDITH, SHELFORD",4.175152916109472,3.455,Yes
