LATITUDE,LONGITUDE,BRIGHTNESS,ACQ_DATE,ACQ_TIME,suburb
-37.3278,148.3102,309.4,2019-11-23,51,W TREE
-37.4288,147.5977,306.6,2019-11-23,51,MARTHAVALE
-37.4326,147.5925,306.0,2019-11-23,51,MARTHAVALE
-37.4345,147.6217,303.9,2019-11-23,51,STIRLING
-37.6485,147.2955,308.1,2019-11-23,51,COBBANNAH
-37.6917,147.9359,311.2,2019-11-23,51,NOWA NOWA
-37.7091,147.9302,329.4,2019-11-23,327,NOWA NOWA
-37.6939,147.929,328.3,2019-11-23,327,NOWA NOWA
-37.7116,147.9231,331.4,2019-11-23,327,NOWA NOWA
-37.6943,147.9569,312.7,2019-11-23,327,NOWA NOWA
-37.6963,147.922,324.1,2019-11-23,327,NOWA NOWA
-37.6522,147.2851,304.3,2019-11-23,327,COBBANNAH
-37.4317,147.6004,349.4,2019-11-23,327,MARTHAVALE
-37.4339,147.561,320.9,2019-11-23,327,MARTHAVALE
-37.3311,148.2985,322.8,2019-11-23,327,W TREE
-37.3143,148.33100000000002,328.4,2019-11-23,327,W TREE
-37.3163,148.296,332.8,2019-11-23,327,W TREE
-37.3288,148.3258,312.1,2019-11-23,327,W TREE
-37.3311,148.2901,323.3,2019-11-23,327,W TREE
-37.3141,148.3233,337.5,2019-11-23,327,W TREE
-37.3163,148.2872,320.6,2019-11-23,327,W TREE
-36.8902,147.4215,306.0,2019-11-23,327,NELSE
-36.9719,146.6126,309.7,2019-11-23,505,ROSE RIVER
-36.9725,146.6091,308.7,2019-11-23,505,ROSE RIVER
-36.8812,147.4325,318.4,2019-11-23,1252,GLEN VALLEY
-36.9103,146.7403,303.3,2019-11-23,1252,DANDONGADALE
-36.7827,147.4085,306.9,2019-11-23,1252,NELSE
-36.7372,147.3727,312.4,2019-11-23,1252,MITTA MITTA
-36.6844,147.3841,307.3,2019-11-23,1252,MITTA MITTA
-36.5969,147.2666,304.6,2019-11-23,1252,MITTA MITTA
-36.6011,147.1446,314.1,2019-11-23,1252,MONGANS BRIDGE
-36.561,147.2318,304.5,2019-11-23,1252,ESKDALE
-36.5584,147.1588,307.3,2019-11-23,1252,ESKDALE
-36.56,147.1454,305.0,2019-11-23,1252,UPPER GUNDOWRING
-36.4079,147.1514,312.2,2019-11-23,1252,SANDY CREEK
-36.3981,147.1494,307.5,2019-11-23,1252,SANDY CREEK
-36.5635,147.2269,328.0,2019-11-23,2355,ESKDALE
-36.8829,147.4393,310.5,2019-11-23,2355,GLEN VALLEY
-37.233000000000004,148.2114,310.0,2019-11-23,2355,GELANTIPY
-37.23,148.2061,313.6,2019-11-23,2355,GELANTIPY
-36.9734,146.6364,307.3,2019-11-23,2355,ROSE RIVER
-37.0634,146.9203,310.8,2019-11-23,2356,SELWYN
-37.3207,148.2989,328.2,2019-11-23,2356,W TREE
-37.3845,147.9791,319.8,2019-11-23,2356,NUNNIONG
-37.3872,147.9932,312.8,2019-11-23,2356,NUNNIONG
-37.4175,147.6027,306.4,2019-11-23,2356,MARTHAVALE
-37.438,147.5956,306.7,2019-11-23,2356,MARTHAVALE
-37.6766,147.9346,317.7,2019-11-23,2356,NOWA NOWA
-37.6867,147.9314,346.8,2019-11-23,2356,NOWA NOWA
-37.6894,147.946,328.4,2019-11-23,2356,NOWA NOWA
-37.6969,147.9288,326.0,2019-11-23,2356,NOWA NOWA
-37.707,147.9258,318.3,2019-11-23,2356,NOWA NOWA
-37.7091,147.9302,331.8,2019-11-24,410,NOWA NOWA
-37.6984,147.9395,324.7,2019-11-24,410,NOWA NOWA
-37.7001,147.9281,366.5,2019-11-24,410,NOWA NOWA
-37.7018,147.9167,331.7,2019-11-24,410,NOWA NOWA
-37.6878,147.9487,316.8,2019-11-24,410,NOWA NOWA
-37.6894,147.9373,356.3,2019-11-24,410,NOWA NOWA
